,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,prices_fixed
id,1.0,,0.22474266522735312,0.02519983495336064,0.02519983495336064,,-0.013186496818871329,-0.003545024164389464,0.017305979414989882,,0.03486009677403048,-0.0016760064381268936,0.03131591470819353,-0.06198267117440906,0.03258123424933791,0.02525162083843593,-0.04520137637771977,-0.05653365347216546,0.028156713266900755,-0.051379907459522284,,0.11223051791795595,0.12040068416484549,0.12978856625564897,0.15833901621089144,-0.14379583549041902,-0.15233588476949725,-0.040833815994724174,-0.3036933095922484,-0.30192475135121327,-0.30191744183545094,-0.3036606692038993,-0.30386479406017214,-0.30578999636232373,-0.3019124695610506,0.16195691973600476,0.17179833647932066,-0.03491036284181257,-0.012638999331842232,-0.09247322429790061,-0.03677544714307092
scrape_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_id,0.22474266522735312,,1.0,-0.040488651753260836,-0.040488651753260836,,0.07624746552528638,-0.0025469984673801593,0.010840989315937102,,-0.012928100775296145,0.000586933372540459,0.00801509828558056,-0.07854328375811376,0.012646191896055654,-0.00533618904173386,-0.05804786403895202,-0.08175568465494445,0.00018796702655823398,-0.0822262107876635,,0.16285967198119156,0.1569667945347442,0.15255872946976312,0.1555133925311333,-0.21811277665431425,-0.06589418407052285,0.016632406598203347,-0.2268296795446292,-0.22373283425249577,-0.22341305150026186,-0.22525191239039838,-0.2260537514835103,-0.2253783569551101,-0.22535665591614684,0.2094302089832683,0.23021319241809424,-0.08193153779718451,-0.01194452924942238,-0.023922920300853467,-0.01743086840421603
host_listings_count,0.02519983495336064,,-0.040488651753260836,1.0,1.0,,-0.026333749331465563,-0.010530481627299373,0.07665933860895777,,0.021108252551943447,0.06080266352915459,-0.0002213461488295133,0.018861417072112967,0.0005184121709219501,-0.0020522004760118225,0.04317872238406184,0.046843854834504386,-0.001447673210078564,0.04546715949534419,,0.08628739556286347,0.0991158331988364,0.10383809581173274,0.13334651219850072,-0.06519183449392207,-0.06504274912863375,-0.04843319053959876,-0.1476606729116698,-0.14735273761803117,-0.14545487188799622,-0.14444543630863393,-0.14554170648686934,-0.1454474056933192,-0.1480089040749129,0.14455383344413625,0.1064446028177475,0.17422679557016038,-0.006898308131146509,-0.07645575046253929,0.004903448852022736
host_total_listings_count,0.02519983495336064,,-0.040488651753260836,1.0,1.0,,-0.026333749331465563,-0.010530481627299373,0.07665933860895777,,0.021108252551943447,0.06080266352915459,-0.0002213461488295133,0.018861417072112967,0.0005184121709219501,-0.0020522004760118225,0.04317872238406184,0.046843854834504386,-0.001447673210078564,0.04546715949534419,,0.08628739556286347,0.0991158331988364,0.10383809581173274,0.13334651219850072,-0.06519183449392207,-0.06504274912863375,-0.04843319053959876,-0.1476606729116698,-0.14735273761803117,-0.14545487188799622,-0.14444543630863393,-0.14554170648686934,-0.1454474056933192,-0.1480089040749129,0.14455383344413625,0.1064446028177475,0.17422679557016038,-0.006898308131146509,-0.07645575046253929,0.004903448852022736
neighbourhood_group_cleansed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude,-0.013186496818871329,,0.07624746552528638,-0.026333749331465563,-0.026333749331465563,,1.0,-0.20876328902514438,0.12793610145572967,,0.08337989995387636,0.15601420552340722,-0.050143147485984606,-0.0025147371553984614,-0.049529204955279287,-0.05159711816025291,0.058477461030739086,0.05801232888049787,-0.05293551703287662,0.05881882326923187,,0.0707021688942212,0.0829332442357903,0.06645968216006186,0.059579395387609826,-0.05430943318732521,-0.025276327132106455,-0.04329720653854062,0.044663431499908514,0.04046024094651075,0.043525886251130005,0.04767939154597075,0.045183533758524096,0.045648604921216446,0.04147638213107686,-0.06788783579613747,-0.06839179918109815,-8.629234188653391e-05,-0.01735449223343459,-0.027618738273017765,-0.006320540247717818
longitude,-0.003545024164389464,,-0.0025469984673801593,-0.010530481627299373,-0.010530481627299373,,-0.20876328902514438,1.0,-0.05196317594451762,,-0.05226206318806422,-0.07120869724325694,-0.027259988795185194,0.01463379792286508,-0.026926815150826632,-0.026750702221001153,0.048705715622064834,0.030795386647805584,-0.026889174876455833,0.039089489887300204,,0.03633081309991581,0.02543766833385152,0.02654451486603718,0.0335991125500145,0.05948998762120373,0.05637987099021727,0.05157860018033,0.054060967888453014,0.056080383650783425,0.05321143646994512,0.054782160318811564,0.05583137418042167,0.053301058761332454,0.05248658939385476,-0.01931842310559508,-0.03055246360089438,0.04646487491563995,-0.0021894360482154307,0.06454890406159956,-0.025465291523366955
accommodates,0.017305979414989882,,0.010840989315937102,0.07665933860895777,0.07665933860895777,,0.12793610145572967,-0.05196317594451762,1.0,,0.8356213495639568,0.8447197976131579,-0.08997786526352186,0.005402964968045241,-0.08931160477338047,-0.08049490613180504,0.01497325770502862,0.03210417621097108,-0.08553565370163944,0.03311536286003977,,0.026182849709456238,0.003824170319332889,-0.021374846354405733,0.017493306321475752,-0.08283413857808387,-0.026879038940797795,-0.0008987407507745621,-0.011306162468811984,-0.01663288518933011,-0.013759622772986715,-0.009318207063254796,-0.011793948922764818,-0.013052771329267835,-0.021236438808403056,-0.06951876269681159,-0.026301710094030758,-0.19088659433439448,-0.02152045702683071,-0.015020947110601089,0.3364802651954575
bathrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bedrooms,0.03486009677403048,,-0.012928100775296145,0.021108252551943447,0.021108252551943447,,0.08337989995387636,-0.05226206318806422,0.8356213495639568,,1.0,0.8220683924945209,-0.07320971767321928,-0.012409240390761276,-0.07057484901489781,-0.06627768966756865,-0.01379633205658691,-0.005081066597432258,-0.07058618461965716,-8.503970261480719e-05,,-0.014753124391213958,-0.04204652032549265,-0.0666404789460075,-0.03248328179593133,-0.12138224454239492,-0.08830977998097629,-0.039458726436235415,-0.03872398224426992,-0.04505339945847776,-0.04311279669594676,-0.03808354271930937,-0.03999138808331034,-0.04308761667834594,-0.04899106746496813,-0.0879284117407651,-0.05486018180161846,-0.14714199683352686,-0.036780631050867305,-0.07750394562640911,0.36309882744262983
beds,-0.0016760064381268936,,0.000586933372540459,0.06080266352915459,0.06080266352915459,,0.15601420552340722,-0.07120869724325694,0.8447197976131579,,0.8220683924945209,1.0,-0.08101369085852167,0.002540542315118518,-0.08001413497533372,-0.06584340504662506,0.036533646788678986,0.05387352625925141,-0.07319203636638756,0.05368006207502373,,0.02079121787372776,-0.0017822879044500236,-0.027296139382866534,0.003001753959903802,-0.07762826882190016,-0.02954056053977536,-0.0010677857822743782,0.03485160740388192,0.026965573142407277,0.03192311912010687,0.03742530208938176,0.03415508248451785,0.02923018782853956,0.023972862363682484,-0.10113918500995418,-0.06753742274367146,-0.1503652858026945,-0.01792935814152788,-0.018498785791225148,0.28820025741795635
minimum_nights,0.03131591470819353,,0.00801509828558056,-0.0002213461488295133,-0.0002213461488295133,,-0.050143147485984606,-0.027259988795185194,-0.08997786526352186,,-0.07320971767321928,-0.08101369085852167,1.0,0.07690478903248256,0.9945143217626118,0.9763936967556631,0.012288856042259037,-0.0039988142836494675,0.9876842748295123,0.0017107720902251261,,-0.0017191629879210024,-0.009887937965516807,-0.013753335607811768,0.04132660636013032,-0.0961826818716014,-0.1493266144153664,-0.12814303421813153,-0.13423264720124675,-0.13507932679051746,-0.13691140231408608,-0.13485150435809173,-0.13379033289974424,-0.13840817549744863,-0.13548235751186777,0.23785242797610087,0.24440322287472008,-0.017108052600761956,-0.00846815372441075,-0.1586150849488161,0.034026017946754826
maximum_nights,-0.06198267117440906,,-0.07854328375811376,0.018861417072112967,0.018861417072112967,,-0.0025147371553984614,0.01463379792286508,0.005402964968045241,,-0.012409240390761276,0.002540542315118518,0.07690478903248256,1.0,0.07363983705821964,0.09151344840499552,0.5430499807616325,0.6068811412904525,0.08834873067288933,0.5877073942566929,,0.0019516030388887528,0.009575733316989913,0.014945069025009259,0.13495764206984448,0.044665622462586145,0.06121974720156654,0.0256637923838055,0.15237362347650468,0.1524427342460698,0.1474307451981922,0.15427117376974753,0.1531127872712611,0.1551456580469057,0.1491622371050818,0.0023963815582738945,0.011307630122350752,-0.0380646332272211,-0.04328373654631442,0.049439146305115714,-0.09429048338675496
minimum_minimum_nights,0.03258123424933791,,0.012646191896055654,0.0005184121709219501,0.0005184121709219501,,-0.049529204955279287,-0.026926815150826632,-0.08931160477338047,,-0.07057484901489781,-0.08001413497533372,0.9945143217626118,0.07363983705821964,1.0,0.9712856097830321,0.00926348685494735,-0.006960844105396373,0.9848007644314594,-0.001370738476238577,,-0.001739590369176515,-0.010283780442070695,-0.013974370555339954,0.0407484742178623,-0.0980382042231713,-0.15103646546790073,-0.12904284203176317,-0.1396420176969109,-0.14054135492414924,-0.14218371721543596,-0.1402899964299392,-0.13929043931733853,-0.14346380666543057,-0.14079117015956524,0.23684294531742134,0.24531198535296642,-0.02557901838647166,-0.00801975421484061,-0.1596682324811155,0.03639035061183497
maximum_minimum_nights,0.02525162083843593,,-0.00533618904173386,-0.0020522004760118225,-0.0020522004760118225,,-0.05159711816025291,-0.026750702221001153,-0.08049490613180504,,-0.06627768966756865,-0.06584340504662506,0.9763936967556631,0.09151344840499552,0.9712856097830321,1.0,0.01912327162785309,0.011174888636243451,0.9956422190487639,0.01467916647019973,,-0.004396932343790916,-0.006318431475172872,-0.007716739924333376,0.04828395428691458,-0.09643280883441628,-0.14386149396625816,-0.11901055183000811,-0.12538865441497102,-0.12593277122352606,-0.12827276436601487,-0.12576327583030777,-0.12467965566553041,-0.12934464049538058,-0.12683983167984428,0.2334510355270172,0.2410234864804034,-0.021684638991505436,-0.009982735408038032,-0.14880560672895132,0.02885384229932121
minimum_maximum_nights,-0.04520137637771977,,-0.05804786403895202,0.04317872238406184,0.04317872238406184,,0.058477461030739086,0.048705715622064834,0.01497325770502862,,-0.01379633205658691,0.036533646788678986,0.012288856042259037,0.5430499807616325,0.00926348685494735,0.01912327162785309,1.0,0.9184731897943956,0.017332518890879438,0.9582083465028612,,-0.03508677699745832,-0.018282772018572365,-0.014111232018178797,0.04368792819013592,0.13429731356909333,0.14071859780755408,0.09647828277826169,0.2604662395976421,0.2609378590891238,0.25485085765747384,0.26877315159286447,0.2658074577014296,0.25560826987481833,0.25889434121710253,-0.18213126840222119,-0.19116848028762687,0.03397273165495177,-0.04009253573525626,0.16333941152677,-0.1633548237616975
maximum_maximum_nights,-0.05653365347216546,,-0.08175568465494445,0.046843854834504386,0.046843854834504386,,0.05801232888049787,0.030795386647805584,0.03210417621097108,,-0.005081066597432258,0.05387352625925141,-0.0039988142836494675,0.6068811412904525,-0.006960844105396373,0.011174888636243451,0.9184731897943956,1.0,0.004319926086344216,0.9844231006384536,,-0.012732674499016914,0.006804818687256908,0.015052567627483113,0.08851567484529183,0.14140733185604154,0.17551248250617776,0.10908063266451541,0.2962473947190578,0.29715196250020914,0.2934989303203187,0.2997971311848417,0.2994860378516146,0.2941964533658178,0.29332536766947465,-0.09656901663021834,-0.10040178830428405,0.01545913475116481,-0.04585421259430723,0.18693619723628102,-0.17163778778810862
minimum_nights_avg_ntm,0.028156713266900755,,0.00018796702655823398,-0.001447673210078564,-0.001447673210078564,,-0.05293551703287662,-0.026889174876455833,-0.08553565370163944,,-0.07058618461965716,-0.07319203636638756,0.9876842748295123,0.08834873067288933,0.9848007644314594,0.9956422190487639,0.017332518890879438,0.004319926086344216,1.0,0.008840604008273086,,-0.003692636553596985,-0.007250464265559756,-0.00905087071739924,0.04642707849513421,-0.09902608297705477,-0.14896418222020089,-0.12668399966438604,-0.13127467754149827,-0.1318961532820549,-0.1340535331678577,-0.13171149190832895,-0.13066144418948958,-0.13527446535651266,-0.1325954874962414,0.2353077767489664,0.2429081948601215,-0.02176685601493671,-0.009224936991527675,-0.15468292578482512,0.030838129399659745
maximum_nights_avg_ntm,-0.051379907459522284,,-0.0822262107876635,0.04546715949534419,0.04546715949534419,,0.05881882326923187,0.039089489887300204,0.03311536286003977,,-8.503970261480719e-05,0.05368006207502373,0.0017107720902251261,0.5877073942566929,-0.001370738476238577,0.01467916647019973,0.9582083465028612,0.9844231006384536,0.008840604008273086,1.0,,-0.024139730652434254,-0.006293049572233994,-8.271481008295407e-05,0.06850726264481867,0.1393358985941783,0.15827100485442028,0.1051355951297763,0.28749183052881533,0.28809268556107637,0.283396367144483,0.2924972824213459,0.29161603380264284,0.28420753581005814,0.2847865419542036,-0.12816720371075369,-0.13367091112286172,0.021242951500074474,-0.04444557186245882,0.17657700694107284,-0.16815966120508058
calendar_updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
availability_30,0.11223051791795595,,0.16285967198119156,0.08628739556286347,0.08628739556286347,,0.0707021688942212,0.03633081309991581,0.026182849709456238,,-0.014753124391213958,0.02079121787372776,-0.0017191629879210024,0.0019516030388887528,-0.001739590369176515,-0.004396932343790916,-0.03508677699745832,-0.012732674499016914,-0.003692636553596985,-0.024139730652434254,,1.0,0.9462309247236655,0.8894464778724223,0.5623052550586437,0.0034040247645252064,0.0713293854976952,0.091204222547973,0.03351077904204059,0.03231274480821598,0.03584095990180518,0.03388972284860846,0.031709553837485235,0.035893245103437194,0.02687416314197863,0.2741578167335382,0.2651329971209385,0.05065024517042273,-0.019581355507379748,0.05954154655521857,-0.10183357097574414
availability_60,0.12040068416484549,,0.1569667945347442,0.0991158331988364,0.0991158331988364,,0.0829332442357903,0.02543766833385152,0.003824170319332889,,-0.04204652032549265,-0.0017822879044500236,-0.009887937965516807,0.009575733316989913,-0.010283780442070695,-0.006318431475172872,-0.018282772018572365,0.006804818687256908,-0.007250464265559756,-0.006293049572233994,,0.9462309247236655,1.0,0.9714852838818595,0.6353618081420999,0.0019269069058554633,0.07278585500901408,0.08227489231826782,0.05628156003864863,0.0557135215220957,0.05829444523970166,0.05708308077705453,0.05554831359197434,0.05750053599257047,0.049993735626052346,0.2709408530039717,0.2557002000664962,0.07782490097481813,-0.010999647106648814,0.06190527944654143,-0.12379009958674253
availability_90,0.12978856625564897,,0.15255872946976312,0.10383809581173274,0.10383809581173274,,0.06645968216006186,0.02654451486603718,-0.021374846354405733,,-0.0666404789460075,-0.027296139382866534,-0.013753335607811768,0.014945069025009259,-0.013974370555339954,-0.007716739924333376,-0.014111232018178797,0.015052567627483113,-0.00905087071739924,-8.271481008295407e-05,,0.8894464778724223,0.9714852838818595,1.0,0.6759130982143345,0.007499553973986261,0.07855355606772575,0.08442598704972869,0.06843454309929571,0.06854955442557795,0.07063078139078097,0.07006316947278357,0.06886158853580288,0.06919278872493997,0.0630007143016217,0.27685962878692316,0.2576631080156176,0.09568925628674348,-0.0074273470186051556,0.06970870853888872,-0.14351356335662835
availability_365,0.15833901621089144,,0.1555133925311333,0.13334651219850072,0.13334651219850072,,0.059579395387609826,0.0335991125500145,0.017493306321475752,,-0.03248328179593133,0.003001753959903802,0.04132660636013032,0.13495764206984448,0.0407484742178623,0.04828395428691458,0.04368792819013592,0.08851567484529183,0.04642707849513421,0.06850726264481867,,0.5623052550586437,0.6353618081420999,0.6759130982143345,1.0,-0.0030250448807363204,0.05720984166677692,0.07110423044434945,0.05534734735376177,0.05497584880332662,0.05746775038275052,0.05692729060179906,0.05560436053424881,0.0589928331435468,0.05071852104950138,0.3184702606343291,0.29326937128600516,0.12340765611482207,-0.030857411030478486,0.04730300971152988,-0.1758496679688933
number_of_reviews,-0.14379583549041902,,-0.21811277665431425,-0.06519183449392207,-0.06519183449392207,,-0.05430943318732521,0.05948998762120373,-0.08283413857808387,,-0.12138224454239492,-0.07762826882190016,-0.0961826818716014,0.044665622462586145,-0.0980382042231713,-0.09643280883441628,0.13429731356909333,0.14140733185604154,-0.09902608297705477,0.1393358985941783,,0.0034040247645252064,0.0019269069058554633,0.007499553973986261,-0.0030250448807363204,1.0,0.7283658106610664,0.48713524236835876,0.3196286495552674,0.3224319735251205,0.3205541047790277,0.3198088008351074,0.31940105487068066,0.3185125154771024,0.3245777507520533,-0.12835190255747617,-0.11799589271548594,-0.05057048552883026,0.0011584559726273492,0.6865948164179793,-0.13590238164676824
number_of_reviews_ltm,-0.15233588476949725,,-0.06589418407052285,-0.06504274912863375,-0.06504274912863375,,-0.025276327132106455,0.05637987099021727,-0.026879038940797795,,-0.08830977998097629,-0.02954056053977536,-0.1493266144153664,0.06121974720156654,-0.15103646546790073,-0.14386149396625816,0.14071859780755408,0.17551248250617776,-0.14896418222020089,0.15827100485442028,,0.0713293854976952,0.07278585500901408,0.07855355606772575,0.05720984166677692,0.7283658106610664,1.0,0.7102710219952254,0.3524701238595759,0.35514800382814565,0.3552080525610448,0.3501207417219626,0.35058082670213564,0.3528391818159,0.35555361544906117,-0.12035959330455237,-0.10064174317503015,-0.09109361581132017,-0.02540809052821271,0.8493729247195443,-0.1482451357676332
number_of_reviews_l30d,-0.040833815994724174,,0.016632406598203347,-0.04843319053959876,-0.04843319053959876,,-0.04329720653854062,0.05157860018033,-0.0008987407507745621,,-0.039458726436235415,-0.0010677857822743782,-0.12814303421813153,0.0256637923838055,-0.12904284203176317,-0.11901055183000811,0.09647828277826169,0.10908063266451541,-0.12668399966438604,0.1051355951297763,,0.091204222547973,0.08227489231826782,0.08442598704972869,0.07110423044434945,0.48713524236835876,0.7102710219952254,1.0,0.2801735391633968,0.28173951612799325,0.28290506731713255,0.27641843503707775,0.2774136793238602,0.2776975795118457,0.28372440119815273,-0.10407378759157042,-0.08928268480944271,-0.06837913942463705,-0.02484234624405494,0.7647398518300044,-0.12274227417930195
review_scores_rating,-0.3036933095922484,,-0.2268296795446292,-0.1476606729116698,-0.1476606729116698,,0.044663431499908514,0.054060967888453014,-0.011306162468811984,,-0.03872398224426992,0.03485160740388192,-0.13423264720124675,0.15237362347650468,-0.1396420176969109,-0.12538865441497102,0.2604662395976421,0.2962473947190578,-0.13127467754149827,0.28749183052881533,,0.03351077904204059,0.05628156003864863,0.06843454309929571,0.05534734735376177,0.3196286495552674,0.3524701238595759,0.2801735391633968,1.0,0.9954262579353644,0.9948251504356693,0.992095156949299,0.9940770141583957,0.9923662775517833,0.9954739589395698,-0.28850202095083016,-0.2970712012841081,0.024055318133261158,-0.03876542040729426,0.4233888813641553,-0.29289943858617407
review_scores_accuracy,-0.30192475135121327,,-0.22373283425249577,-0.14735273761803117,-0.14735273761803117,,0.04046024094651075,0.056080383650783425,-0.01663288518933011,,-0.04505339945847776,0.026965573142407277,-0.13507932679051746,0.1524427342460698,-0.14054135492414924,-0.12593277122352606,0.2609378590891238,0.29715196250020914,-0.1318961532820549,0.28809268556107637,,0.03231274480821598,0.0557135215220957,0.06854955442557795,0.05497584880332662,0.3224319735251205,0.35514800382814565,0.28173951612799325,0.9954262579353644,1.0,0.9937860126215516,0.9941606763979923,0.9955982965975869,0.9935205353399043,0.9951970241419973,-0.28610522186439624,-0.29507840279980746,0.025883338920778525,-0.038939553550300786,0.42616535096995745,-0.2954007670603008
review_scores_cleanliness,-0.30191744183545094,,-0.22341305150026186,-0.14545487188799622,-0.14545487188799622,,0.043525886251130005,0.05321143646994512,-0.013759622772986715,,-0.04311279669594676,0.03192311912010687,-0.13691140231408608,0.1474307451981922,-0.14218371721543596,-0.12827276436601487,0.25485085765747384,0.2934989303203187,-0.1340535331678577,0.283396367144483,,0.03584095990180518,0.05829444523970166,0.07063078139078097,0.05746775038275052,0.3205541047790277,0.3552080525610448,0.28290506731713255,0.9948251504356693,0.9937860126215516,1.0,0.9912472996708185,0.9914595467812228,0.9913555922247331,0.9934531810387185,-0.28482652431830746,-0.2923750692144113,0.01958170097462716,-0.03933358587141485,0.42689659894196386,-0.29411178044078645
review_scores_checkin,-0.3036606692038993,,-0.22525191239039838,-0.14444543630863393,-0.14444543630863393,,0.04767939154597075,0.054782160318811564,-0.009318207063254796,,-0.03808354271930937,0.03742530208938176,-0.13485150435809173,0.15427117376974753,-0.1402899964299392,-0.12576327583030777,0.26877315159286447,0.2997971311848417,-0.13171149190832895,0.2924972824213459,,0.03388972284860846,0.05708308077705453,0.07006316947278357,0.05692729060179906,0.3198088008351074,0.3501207417219626,0.27641843503707775,0.992095156949299,0.9941606763979923,0.9912472996708185,1.0,0.9968696561736913,0.9924762673197335,0.9920324114919183,-0.2924648323691699,-0.30240935022942234,0.029970357905069033,-0.03933076940495959,0.4217272039378524,-0.2945076907741942
review_scores_communication,-0.30386479406017214,,-0.2260537514835103,-0.14554170648686934,-0.14554170648686934,,0.045183533758524096,0.05583137418042167,-0.011793948922764818,,-0.03999138808331034,0.03415508248451785,-0.13379033289974424,0.1531127872712611,-0.13929043931733853,-0.12467965566553041,0.2658074577014296,0.2994860378516146,-0.13066144418948958,0.29161603380264284,,0.031709553837485235,0.05554831359197434,0.06886158853580288,0.05560436053424881,0.31940105487068066,0.35058082670213564,0.2774136793238602,0.9940770141583957,0.9955982965975869,0.9914595467812228,0.9968696561736913,1.0,0.9933016767299564,0.9935814448662217,-0.28968207113173633,-0.2993871946146384,0.028986473078956985,-0.03930473834686467,0.4214012801835216,-0.294660459842607
review_scores_location,-0.30578999636232373,,-0.2253783569551101,-0.1454474056933192,-0.1454474056933192,,0.045648604921216446,0.053301058761332454,-0.013052771329267835,,-0.04308761667834594,0.02923018782853956,-0.13840817549744863,0.1551456580469057,-0.14346380666543057,-0.12934464049538058,0.25560826987481833,0.2941964533658178,-0.13527446535651266,0.28420753581005814,,0.035893245103437194,0.05750053599257047,0.06919278872493997,0.0589928331435468,0.3185125154771024,0.3528391818159,0.2776975795118457,0.9923662775517833,0.9935205353399043,0.9913555922247331,0.9924762673197335,0.9933016767299564,1.0,0.9931517747661578,-0.28488354074263206,-0.2923799056434472,0.0194477998609465,-0.0399476765699657,0.4208832978361709,-0.2937166956492621
review_scores_value,-0.3019124695610506,,-0.22535665591614684,-0.1480089040749129,-0.1480089040749129,,0.04147638213107686,0.05248658939385476,-0.021236438808403056,,-0.04899106746496813,0.023972862363682484,-0.13548235751186777,0.1491622371050818,-0.14079117015956524,-0.12683983167984428,0.25889434121710253,0.29332536766947465,-0.1325954874962414,0.2847865419542036,,0.02687416314197863,0.049993735626052346,0.0630007143016217,0.05071852104950138,0.3245777507520533,0.35555361544906117,0.28372440119815273,0.9954739589395698,0.9951970241419973,0.9934531810387185,0.9920324114919183,0.9935814448662217,0.9931517747661578,1.0,-0.2888091674486992,-0.2983551388362073,0.028313357268595726,-0.03812679600920009,0.4294441506915472,-0.2983206967600228
calculated_host_listings_count,0.16195691973600476,,0.2094302089832683,0.14455383344413625,0.14455383344413625,,-0.06788783579613747,-0.01931842310559508,-0.06951876269681159,,-0.0879284117407651,-0.10113918500995418,0.23785242797610087,0.0023963815582738945,0.23684294531742134,0.2334510355270172,-0.18213126840222119,-0.09656901663021834,0.2353077767489664,-0.12816720371075369,,0.2741578167335382,0.2709408530039717,0.27685962878692316,0.3184702606343291,-0.12835190255747617,-0.12035959330455237,-0.10407378759157042,-0.28850202095083016,-0.28610522186439624,-0.28482652431830746,-0.2924648323691699,-0.28968207113173633,-0.28488354074263206,-0.2888091674486992,1.0,0.9743228551862851,0.1595369545228005,-0.017060827952081203,-0.1594828695441107,-0.05180265057496323
calculated_host_listings_count_entire_homes,0.17179833647932066,,0.23021319241809424,0.1064446028177475,0.1064446028177475,,-0.06839179918109815,-0.03055246360089438,-0.026301710094030758,,-0.05486018180161846,-0.06753742274367146,0.24440322287472008,0.011307630122350752,0.24531198535296642,0.2410234864804034,-0.19116848028762687,-0.10040178830428405,0.2429081948601215,-0.13367091112286172,,0.2651329971209385,0.2557002000664962,0.2576631080156176,0.29326937128600516,-0.11799589271548594,-0.10064174317503015,-0.08928268480944271,-0.2970712012841081,-0.29507840279980746,-0.2923750692144113,-0.30240935022942234,-0.2993871946146384,-0.2923799056434472,-0.2983551388362073,0.9743228551862851,1.0,-0.06657442675178225,-0.017716705245471066,-0.140316310916748,-0.03316982624521525
calculated_host_listings_count_private_rooms,-0.03491036284181257,,-0.08193153779718451,0.17422679557016038,0.17422679557016038,,-8.629234188653391e-05,0.04646487491563995,-0.19088659433439448,,-0.14714199683352686,-0.1503652858026945,-0.017108052600761956,-0.0380646332272211,-0.02557901838647166,-0.021684638991505436,0.03397273165495177,0.01545913475116481,-0.02176685601493671,0.021242951500074474,,0.05065024517042273,0.07782490097481813,0.09568925628674348,0.12340765611482207,-0.05057048552883026,-0.09109361581132017,-0.06837913942463705,0.024055318133261158,0.025883338920778525,0.01958170097462716,0.029970357905069033,0.028986473078956985,0.0194477998609465,0.028313357268595726,0.1595369545228005,-0.06657442675178225,1.0,-0.008089672624271797,-0.0900277995478087,-0.08370648091747268
calculated_host_listings_count_shared_rooms,-0.012638999331842232,,-0.01194452924942238,-0.006898308131146509,-0.006898308131146509,,-0.01735449223343459,-0.0021894360482154307,-0.02152045702683071,,-0.036780631050867305,-0.01792935814152788,-0.00846815372441075,-0.04328373654631442,-0.00801975421484061,-0.009982735408038032,-0.04009253573525626,-0.04585421259430723,-0.009224936991527675,-0.04444557186245882,,-0.019581355507379748,-0.010999647106648814,-0.0074273470186051556,-0.030857411030478486,0.0011584559726273492,-0.02540809052821271,-0.02484234624405494,-0.03876542040729426,-0.038939553550300786,-0.03933358587141485,-0.03933076940495959,-0.03930473834686467,-0.0399476765699657,-0.03812679600920009,-0.017060827952081203,-0.017716705245471066,-0.008089672624271797,1.0,-0.021408925729456733,0.0061072638250947225
reviews_per_month,-0.09247322429790061,,-0.023922920300853467,-0.07645575046253929,-0.07645575046253929,,-0.027618738273017765,0.06454890406159956,-0.015020947110601089,,-0.07750394562640911,-0.018498785791225148,-0.1586150849488161,0.049439146305115714,-0.1596682324811155,-0.14880560672895132,0.16333941152677,0.18693619723628102,-0.15468292578482512,0.17657700694107284,,0.05954154655521857,0.06190527944654143,0.06970870853888872,0.04730300971152988,0.6865948164179793,0.8493729247195443,0.7647398518300044,0.4233888813641553,0.42616535096995745,0.42689659894196386,0.4217272039378524,0.4214012801835216,0.4208832978361709,0.4294441506915472,-0.1594828695441107,-0.140316310916748,-0.0900277995478087,-0.021408925729456733,1.0,-0.17598664806995862
prices_fixed,-0.03677544714307092,,-0.01743086840421603,0.004903448852022736,0.004903448852022736,,-0.006320540247717818,-0.025465291523366955,0.3364802651954575,,0.36309882744262983,0.28820025741795635,0.034026017946754826,-0.09429048338675496,0.03639035061183497,0.02885384229932121,-0.1633548237616975,-0.17163778778810862,0.030838129399659745,-0.16815966120508058,,-0.10183357097574414,-0.12379009958674253,-0.14351356335662835,-0.1758496679688933,-0.13590238164676824,-0.1482451357676332,-0.12274227417930195,-0.29289943858617407,-0.2954007670603008,-0.29411178044078645,-0.2945076907741942,-0.294660459842607,-0.2937166956492621,-0.2983206967600228,-0.05180265057496323,-0.03316982624521525,-0.08370648091747268,0.0061072638250947225,-0.17598664806995862,1.0
